Date	Time	Text	CC	Pa	Pz	Pt'	Ra	RPc	Rz	RSm	Rmax	Rc	Rt	Rp	Rmr(0%-0?)	Rpm	C(Rmr=0.0%)	Rv	Rmr(0.0)	Rmr(C=0?)	Rq	Rsk	R3z	Rku	RzISO	Rdq	Rdc	RzJIS	RPc EN10049	Mr1	Rk	Mr2	Rpk	A1	Rvk	A2	Rpk*	Rvk*	Vo 0.001*	R	Rx	Ar	Nr	CR	CF	CL
20001115	21:20:40	24	0				0.204		1.913	0.0393			2.513																	6.6	5.320		1.128		2.626											
20001115	21:21:13	25	0				0.431		2.607	0.0880			3.231	#REF!																6.2	3.579		0.734		1.342											
20001115	21:21:46	26	0				0.970		5.847	0.1218			6.850																	11.7	6.667		1.250		2.903											
20001115	21:22:20	27	0				1.518		7.863	0.2728			8.284																	19.9	10.161		3.715		0.399											
20001115	21:22:59	28	0				3.273		11.753	0.7970			12.313																	19.3	15.144		4.360		2.198											
20001115	21:23:32	29	0				2.427		10.195	0.4501			11.359																	8.4	7.602		2.599		4.570											
20001115	21:24:05	30	0				0.180		1.318	0.0511			1.823																	5.6	5.352		0.985		2.409											
20001115	21:24:39	31	0				0.258		1.791	0.0743			2.361																	13.0	6.434		2.520		2.140											
20001115	21:25:14	32	0				0.597		3.231	0.2567			3.888																	18.9	10.553		2.605		0.772											
20001115	21:25:47	33	0				0.758		4.270	0.2347			4.734																	4.5	15.078		2.061		1.430											
20001115	21:26:24	34	0				0.894		4.151	0.2146			4.676																	6.8	0.542		0.121		0.369											
20001115	21:26:57	35	0				0.659		3.668	0.1001			4.115																	19.1	1.393		0.582		0.435											
																														22.6	1.285		0.645		0.457											
																														19.7	3.327		2.187		0.760											
f	Rt exp	Rt théorique																												40.9	2.364		6.613		0.566											
0,05	1	0,125																												40.8	5.682		9.106		0.321											
0,1	2,1	0,5																												20.4	7.733		5.223		0.479											
0,2	5,4	2																												7.4	0.519		0.129		0.304											
0,3	9	4,5																												7.2	0.886		0.185		0.318											
0,4	18	8																												26.8	1.552		0.967		0.311											
0,5	19	12,5																												29.0	1.266		1.921		0.417											
																														3.9	5.322		0.353		0.667											
																														5.2	1.105		0.180		3.174											
																														7.1	0.579		0.139		0.492											
																														9.0	1.533		0.335		0.480											
																														17.7	2.409		1.682		0.858											
																														31.0	2.409		4.297		0.492											
																														40.5	4.609		9.842		0.404											
																														26.1	6.212		5.400		0.639											
																														7.0	0.580		0.134		0.258											
f	Rt exp	Rt théorique																												7.7	0.753		0.243		0.431											
0,05	0,9	0,390625																												26.0	1.408		0.978		0.331											
0,1	1,5	1,5625																												28.6	1.482		1.716		0.989											
0,2	2,5	6,25																												6.4	2.284		0.522		1.741											
0,3	4,8	14,0625																												8.1	1.224		0.520		2.472											
0,4	6,8	25																																												
0,5	7,4	39,0625																																												
